ID,Cell,Batch,Group,ExpLibSize,sizeFactor
Cell1,Cell1,Batch1,Group6,50213.1960098132,0.72468049124303
Cell2,Cell2,Batch1,Group1,62667.0210865717,1.01303621476213
Cell3,Cell3,Batch1,Group7,52090.7468603594,0.763624807936277
Cell4,Cell4,Batch1,Group3,55863.3857162867,0.813006975872496
Cell5,Cell5,Batch1,Group9,56106.0546776552,0.666134954673107
Cell6,Cell6,Batch1,Group7,91725.4224756628,1.37494087771972
Cell7,Cell7,Batch1,Group2,60036.1802813807,1.08995688667323
Cell8,Cell8,Batch1,Group2,55073.0056531284,0.830801334328441
Cell9,Cell9,Batch1,Group8,77659.0293254432,1.23773233858299
Cell10,Cell10,Batch1,Group10,82832.0023378285,1.3481928756164
Cell11,Cell11,Batch1,Group5,59836.6002008255,1.01174559946161
Cell12,Cell12,Batch1,Group5,67829.2554973566,1.13666102786087
Cell13,Cell13,Batch1,Group1,79423.0348564166,1.28445261246188
Cell14,Cell14,Batch1,Group5,53727.738126255,0.808699547307004
Cell15,Cell15,Batch1,Group5,57336.1294934422,0.953135532126657
Cell16,Cell16,Batch1,Group4,59470.6573629848,0.947666549790696
Cell17,Cell17,Batch1,Group7,67099.9708272464,1.19799752001817
Cell18,Cell18,Batch1,Group9,60792.6029394384,1.00442135763115
Cell19,Cell19,Batch1,Group6,61855.0441818721,1.12206094227371
Cell20,Cell20,Batch1,Group4,81878.3769990056,1.2447016612058
Cell21,Cell21,Batch1,Group2,46123.1584106262,0.732859765710087
Cell22,Cell22,Batch1,Group4,77058.4750621456,1.29460007526223
Cell23,Cell23,Batch1,Group7,63566.9970396674,1.05769150416019
Cell24,Cell24,Batch1,Group7,60704.5793603132,1.10426658381777
Cell25,Cell25,Batch1,Group3,64383.3919834192,1.00809961123763
Cell26,Cell26,Batch1,Group3,69772.9047965875,1.05986941747982
Cell27,Cell27,Batch1,Group1,73857.9772862938,1.18489777471787
Cell28,Cell28,Batch1,Group4,53579.1627818285,1.0171661837238
Cell29,Cell29,Batch1,Group9,50265.4141976774,0.993467260267966
Cell30,Cell30,Batch1,Group4,55785.7796315098,0.917756540201102
Cell31,Cell31,Batch1,Group6,47661.9963604774,0.754767960436446
Cell32,Cell32,Batch1,Group7,60180.8095365217,1.04906051433795
Cell33,Cell33,Batch1,Group2,60923.686457043,1.01421390122385
Cell34,Cell34,Batch1,Group6,83098.247768307,1.18515589777798
Cell35,Cell35,Batch1,Group3,66567.2455957674,1.19744900851545
Cell36,Cell36,Batch1,Group9,66533.1469831145,1.07384032810797
Cell37,Cell37,Batch1,Group7,69567.7014679032,1.10760605090787
Cell38,Cell38,Batch1,Group6,57765.896505402,1.08447177164601
Cell39,Cell39,Batch1,Group1,53365.8208940106,0.85600059807113
Cell40,Cell40,Batch1,Group4,60321.9497904124,1.02768469842305
Cell41,Cell41,Batch1,Group3,53463.6365443084,0.840997195202564
Cell42,Cell42,Batch1,Group5,55748.376002957,0.916143271075449
Cell43,Cell43,Batch1,Group7,79240.6894984568,1.47915806323686
Cell44,Cell44,Batch1,Group2,74847.7707281655,1.11144563142692
Cell45,Cell45,Batch1,Group10,79584.3768890028,1.25638172967553
Cell46,Cell46,Batch1,Group10,74928.6693099428,1.22203522999039
Cell47,Cell47,Batch1,Group8,61049.6590854512,0.937535219681599
Cell48,Cell48,Batch1,Group1,63118.1847574875,0.988821045186087
Cell49,Cell49,Batch1,Group1,59419.0606140614,0.97354338656616
Cell50,Cell50,Batch1,Group6,47517.5472111662,0.764737963632978
Cell51,Cell51,Batch1,Group2,60412.1832162489,1.0687423976709
Cell52,Cell52,Batch1,Group4,52836.8892724709,0.841497308631516
Cell53,Cell53,Batch1,Group7,69278.5981717048,1.18826950719049
Cell54,Cell54,Batch1,Group1,52245.7414960669,0.854016277046578
Cell55,Cell55,Batch1,Group7,46267.8114961955,0.584616465753894
Cell56,Cell56,Batch1,Group2,46894.8946257546,0.842610464328216
Cell57,Cell57,Batch1,Group1,50774.9789613592,0.808151035804282
Cell58,Cell58,Batch1,Group7,53168.5071200482,0.87400468151341
Cell59,Cell59,Batch1,Group2,82079.3976086499,1.444263052049
Cell60,Cell60,Batch1,Group10,53174.2553740837,0.876940831322098
Cell61,Cell61,Batch1,Group6,58994.3180906324,0.740555059439449
Cell62,Cell62,Batch1,Group10,90831.8524688327,1.46223487010877
Cell63,Cell63,Batch1,Group10,69824.4506158879,1.12940131679543
Cell64,Cell64,Batch1,Group6,63086.256134964,1.12309343451413
Cell65,Cell65,Batch1,Group7,54604.7161556514,1.0185374624806
Cell66,Cell66,Batch1,Group7,50843.0959260574,0.942229832837248
Cell67,Cell67,Batch1,Group1,81902.0342040223,1.31429809128645
Cell68,Cell68,Batch1,Group2,46827.8604566889,0.740764784425784
Cell69,Cell69,Batch1,Group3,58633.7550250991,0.754558235450111
Cell70,Cell70,Batch1,Group4,55762.8718972582,1.03402484608687
Cell71,Cell71,Batch1,Group7,56446.5970899374,0.824816105872271
Cell72,Cell72,Batch1,Group10,56057.3008697708,0.888282113275434
Cell73,Cell73,Batch1,Group10,62110.581199741,1.00204985201644
Cell74,Cell74,Batch1,Group4,51979.8521252123,0.762995632977273
Cell75,Cell75,Batch1,Group7,68352.7579121008,1.01405257431129
Cell76,Cell76,Batch1,Group6,77722.3109862085,1.089376109788
Cell77,Cell77,Batch1,Group3,48744.4890948128,0.79934258637822
Cell78,Cell78,Batch1,Group10,67488.0451871559,1.07274330510252
Cell79,Cell79,Batch1,Group8,64966.2007220654,1.08205186795754
Cell80,Cell80,Batch1,Group6,46151.5217252569,0.747008135942058
Cell81,Cell81,Batch1,Group2,56668.1797747895,0.87860249852152
Cell82,Cell82,Batch1,Group9,73194.9261980349,1.28977640057653
Cell83,Cell83,Batch1,Group8,63928.2682285571,0.983932839735361
Cell84,Cell84,Batch1,Group5,71387.9430380615,1.18334903635725
Cell85,Cell85,Batch1,Group7,79723.0808734266,0.986546335718917
Cell86,Cell86,Batch1,Group7,74636.8285859466,1.26456100414258
Cell87,Cell87,Batch1,Group5,56202.544160732,0.894509332100452
Cell88,Cell88,Batch1,Group2,56517.1276317212,0.837238278139794
Cell89,Cell89,Batch1,Group8,41477.6633735941,0.686300818743761
Cell90,Cell90,Batch1,Group3,60868.5436294841,0.972801282768359
Cell91,Cell91,Batch1,Group2,59151.9614783775,0.921999438001567
Cell92,Cell92,Batch1,Group2,70677.9537755773,1.10857401238326
Cell93,Cell93,Batch1,Group7,69630.5208943683,1.4866758973624
Cell94,Cell94,Batch1,Group4,60224.2001994041,0.915610892263984
Cell95,Cell95,Batch1,Group2,72892.2004752534,1.1563913092676
Cell96,Cell96,Batch1,Group10,68565.2896366262,1.09666808623595
Cell97,Cell97,Batch1,Group4,47685.5986209819,0.730633454316687
Cell98,Cell98,Batch1,Group9,75048.0815953637,1.21567894963532
Cell99,Cell99,Batch1,Group6,80361.8580563065,1.09999142063479
Cell100,Cell100,Batch1,Group2,29804.9148789963,0.417175263202438
