ID,Gene,BaseGeneMean,OutlierFactor,GeneMean,DEFacGroup1,DEFacGroup2,DEFacGroup3,DEFacGroup4,DEFacGroup5,DEFacGroup6,DEFacGroup7,DEFacGroup8,DEFacGroup9,DEFacGroup10
Gene1,Gene1,7.75193683252936,1,7.75193683252936,1,1,1,1.57042373219096,1,1,1,1,1,1
Gene2,Gene2,0.98186543455719,1,0.98186543455719,1,1,1,1,1,1,1.24415408947583,1,1,1
Gene3,Gene3,1.38698025444068,1,1.38698025444068,1,1,1,1,1,1,1,1,1,1
Gene4,Gene4,1.05649919126863,50.6185976558125,52.7245941529008,1,1,0.00309762443645547,2.01651513117368,1,1,1,1,1,1
Gene5,Gene5,1.3115017576833,1,1.3115017576833,1,1,1,1,1,1.83438652896554,1,1,1,1
Gene6,Gene6,0.627964558922728,1,0.627964558922728,1,1,4.80872178443279e-06,1,1,0.962413390408244,1,1,1,1
Gene7,Gene7,2.92417282292997,1,2.92417282292997,1,1,1,1,1,1,1,1,1,1
Gene8,Gene8,0.272208160860288,1,0.272208160860288,1,1,1,1,0.557825244415798,1,1,1,1,1
Gene9,Gene9,0.612005837258392,1,0.612005837258392,1,1.29742929203585,1,1,1,1,1,1,1,1
Gene10,Gene10,1.06547544715421,1,1.06547544715421,7.54247994558751,1,1,1,1,1.40173393878916,1,3.36574481435602,1,1
Gene11,Gene11,0.168897325358526,1,0.168897325358526,1,1,1,1,1,1,1,1,1,1
Gene12,Gene12,0.302580685916371,78.9696135844781,82.2551595554702,1,1,1,1,0.837174566470742,1,1,1,1,1
Gene13,Gene13,4.11117334034835,1,4.11117334034835,1,1,1,1,1,1,1,1,1,1
Gene14,Gene14,4.80340696632969,1,4.80340696632969,1,1,1.25423434266051,1,1,0.871415204522386,1,1,1,1
Gene15,Gene15,0.137378124255498,1,0.137378124255498,1,1,1,1,0.900782277162716,1,1,1,1,1
Gene16,Gene16,0.0832737197972746,1,0.0832737197972746,1,1,1,1,1,1,1,1,1,1
Gene17,Gene17,0.108634196925834,1,0.108634196925834,1,1,1,1,1,1,1,0.743891574198627,0.236526792834376,1
Gene18,Gene18,2.41766792206434,1,2.41766792206434,1,1,1,1,1,1,1,1,1,1
Gene19,Gene19,0.775201609160164,1,0.775201609160164,1.13390311359421,1,1,1,1,0.682570162087192,1,1,1,1
Gene20,Gene20,0.148187191689905,1,0.148187191689905,1,1,1,1,1,1,1,1,1,1
Gene21,Gene21,4.28245579416135,1,4.28245579416135,1,1,1,1,1,1,1,1,1,1
Gene22,Gene22,5.35675269214712,1,5.35675269214712,1,1,1,1,1,1,1,1,1,1
Gene23,Gene23,0.570107696938744,64.0459634387657,66.7106080733686,3.01296249687533,1,1.03137742649233,1,1,1,1,1.05032796723713,1,1
Gene24,Gene24,1.45458799819183,1,1.45458799819183,1,1,1,1,1,1,1,1,1,1
Gene25,Gene25,0.0176341493338592,1,0.0176341493338592,1,1,1.08038626515889,1,1.51638992636775,1,1,1,1,1
Gene26,Gene26,0.677839707762802,1,0.677839707762802,1,0.90505133664003,1,1.78740392721931,1,1,1,0.304303021273798,1,1
Gene27,Gene27,0.264699237770401,1,0.264699237770401,1,1,1,1,1,1,1,0.961373783243114,1,1
Gene28,Gene28,6.72149871576285,1,6.72149871576285,1,0.29483770066442,0.563788106210828,1,1,1,1,1,1,1
Gene29,Gene29,6.11920813730079,1,6.11920813730079,1,1,1,1,1,1,1.18815918420352,1,0.583823127987261,1
Gene30,Gene30,3.92560137522361,1,3.92560137522361,1,1,1,1,1,1,1,1,1,0.0348223677287201
Gene31,Gene31,4.0489272501436,1,4.0489272501436,1,1,48.3292730755249,1,1,1,1,1,1,1
Gene32,Gene32,6.32723508502787,1,6.32723508502787,1,1,1,0.682194700581788,1,1,0.603446899816722,1,1,1
Gene33,Gene33,0.702939506535292,1,0.702939506535292,1,1,1,1,1,3.14689275581594e-15,1,0.0879178699922595,1,1
Gene34,Gene34,0.946517941115232,1,0.946517941115232,1,1,1,1,0.981434259628579,0.767111635583754,1,1,1,1
Gene35,Gene35,0.0455914615987043,1,0.0455914615987043,0.059839541060532,1,1,1,1.06109870418763,1,1,1,1,1
Gene36,Gene36,1.10663010907625,1,1.10663010907625,1,1,1,1,1,1,1,1,1,1
Gene37,Gene37,0.403067493325083,1,0.403067493325083,1,1,1.4815957461059,1,0.726991135846699,1,1,1,1,1.14550264297402
Gene38,Gene38,0.00354103256877077,1,0.00354103256877077,1,1,1,1,1,1,1.22221451487688,1,1,1
Gene39,Gene39,3.39951825792952,1,3.39951825792952,1,1,0.86190176168173,1.39699566502917,1,1,1,1,1,1
Gene40,Gene40,3.56816917297909,1,3.56816917297909,1,1,1,1,1,1,1,1,1,1
Gene41,Gene41,0.00163257950688606,1,0.00163257950688606,1,0.656945652302697,1,1,1,1,1,1,1,1
Gene42,Gene42,0.713547155031484,92.6222181740977,96.4757833865033,1,1,1,1,1,1,1,1,1,1
Gene43,Gene43,10.0796318982409,1,10.0796318982409,1.61525539588606,1,1,0.515362470223381,1,1,1,1,1,1
Gene44,Gene44,0.15856373551408,1,0.15856373551408,1,1,1,1,1,1,1,1,1,1
Gene45,Gene45,0.40911647113928,1,0.40911647113928,1,1,1,1,1,1,0.623711640216064,1,1,1
Gene46,Gene46,1.52545736366911,1,1.52545736366911,1,1,1,1,1.05224371396777,1,1,1,1,1
Gene47,Gene47,0.1601049426741,1,0.1601049426741,1,1,1,1,1,1,1,1,1,1
Gene48,Gene48,1.07677385219277,1,1.07677385219277,1,1,1,1,1,1,1,1,1,1
Gene49,Gene49,7.30347783833376,1,7.30347783833376,1,1,1,1,1,1,1,1,1,2.18612753146085
Gene50,Gene50,1.03028119545794,1,1.03028119545794,1,1,1,1,1,1,1,1,1,1
Gene51,Gene51,0.164877716643966,1,0.164877716643966,1,1,0.80483588690995,1,1,1,1,1,0.242389179278161,1
